Method,NumThreads,Dimension,RunTime
Left rect,1,100,9.22e-005
Left rect,1,1000,0.0003758
Left rect,1,10000,0.0034921
Left rect,1,100000,0.0343616
Left rect,1,1000000,0.197389
Right rect,1,100,5.22e-005
Right rect,1,1000,0.0002139
Right rect,1,10000,0.0019617
Right rect,1,100000,0.0196444
Right rect,1,1000000,0.195953
Middle rect,1,100,4.74e-005
Middle rect,1,1000,0.0002137
Middle rect,1,10000,0.0020438
Middle rect,1,100000,0.0198641
Middle rect,1,1000000,0.202825
Trap,1,100,4.64e-005
Trap,1,1000,0.0002095
Trap,1,10000,0.0019342
Trap,1,100000,0.0190356
Trap,1,1000000,0.190358
Simpson,1,100,6.04e-005
Simpson,1,1000,0.0002292
Simpson,1,10000,0.0019199
Simpson,1,100000,0.0189479
Simpson,1,1000000,0.18949
Monte Carlo,1,100,0.0002188
Monte Carlo,1,1000,0.0009139
Monte Carlo,1,10000,0.0080524
Monte Carlo,1,100000,0.080818
Monte Carlo,1,1000000,0.792552
Left rect,2,100,0.0008763
Left rect,2,1000,0.0002289
Left rect,2,10000,0.0015863
Left rect,2,100000,0.0111582
Left rect,2,1000000,0.123933
Right rect,2,100,9.96e-005
Right rect,2,1000,0.0002287
Right rect,2,10000,0.0015778
Right rect,2,100000,0.0129288
Right rect,2,1000000,0.114086
Middle rect,2,100,0.0001058
Middle rect,2,1000,0.0002358
Middle rect,2,10000,0.0014757
Middle rect,2,100000,0.0145897
Middle rect,2,1000000,0.11226
Trap,2,100,0.0001014
Trap,2,1000,0.0002409
Trap,2,10000,0.0011712
Trap,2,100000,0.0100098
Trap,2,1000000,0.10698
Simpson,2,100,0.0002123
Simpson,2,1000,0.0003264
Simpson,2,10000,0.0015221
Simpson,2,100000,0.0130489
Simpson,2,1000000,0.111883
Monte Carlo,2,100,0.0003601
Monte Carlo,2,1000,0.0008263
Monte Carlo,2,10000,0.005457
Monte Carlo,2,100000,0.0525957
Monte Carlo,2,1000000,0.52532
Left rect,3,100,0.0007869
Left rect,3,1000,0.0002331
Left rect,3,10000,0.001173
Left rect,3,100000,0.0101873
Left rect,3,1000000,0.0882437
Right rect,3,100,8.86e-005
Right rect,3,1000,0.0002572
Right rect,3,10000,0.0011818
Right rect,3,100000,0.0103901
Right rect,3,1000000,0.0896966
Middle rect,3,100,9.82e-005
Middle rect,3,1000,0.000236
Middle rect,3,10000,0.0010931
Middle rect,3,100000,0.0100284
Middle rect,3,1000000,0.0919273
Trap,3,100,9.81e-005
Trap,3,1000,0.0002623
Trap,3,10000,0.0011374
Trap,3,100000,0.0100127
Trap,3,1000000,0.0920833
Simpson,3,100,0.0001608
Simpson,3,1000,0.0002911
Simpson,3,10000,0.0012101
Simpson,3,100000,0.0095554
Simpson,3,1000000,0.088569
Monte Carlo,3,100,0.0003634
Monte Carlo,3,1000,0.000846
Monte Carlo,3,10000,0.0046437
Monte Carlo,3,100000,0.043073
Monte Carlo,3,1000000,0.417514
Left rect,4,100,0.0006944
Left rect,4,1000,0.0002277
Left rect,4,10000,0.0011661
Left rect,4,100000,0.0088579
Left rect,4,1000000,0.0788603
Right rect,4,100,9.36e-005
Right rect,4,1000,0.0002234
Right rect,4,10000,0.0013409
Right rect,4,100000,0.0103847
Right rect,4,1000000,0.0829006
Middle rect,4,100,9.5e-005
Middle rect,4,1000,0.0002282
Middle rect,4,10000,0.0012794
Middle rect,4,100000,0.0086461
Middle rect,4,1000000,0.0805442
Trap,4,100,9.49e-005
Trap,4,1000,0.0002144
Trap,4,10000,0.0011413
Trap,4,100000,0.0084388
Trap,4,1000000,0.0891883
Simpson,4,100,0.0003118
Simpson,4,1000,0.0003834
Simpson,4,10000,0.0014271
Simpson,4,100000,0.0107209
Simpson,4,1000000,0.0860291
Monte Carlo,4,100,0.0004801
Monte Carlo,4,1000,0.0010437
Monte Carlo,4,10000,0.005209
Monte Carlo,4,100000,0.0445786
Monte Carlo,4,1000000,0.407189
